№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"48
https://youtu.be/o2Ki8fZvk4o","zxy
https://youtu.be/PWMxTZHgntk",855,"6
https://youtu.be/Fw1yRn_J0Lg","111
https://youtu.be/owFBFur1cLs","42
https://youtu.be/iGe5HWMB6kU",32,,,"12825
https://youtu.be/TsQMQ58t_Rk","4
https://youtu.be/AljClCse-jU",,"6",185,77,"248
https://youtu.be/2QUeB2_fkaM","20
https://youtu.be/POmbJN2yrFY",32,"21
https://youtu.be/14XJsISaP_M?t=43
https://youtu.be/ms2NN80d5HQ",1409 9965,"330 1
https://youtu.be/b-UBg42Sjro
https://vk.com/video-216115749_456239820",22,18 21,17,10,"820
https://youtu.be/rJdS0pw08vM",L1567,"103018658 7177
103305938 7187
103478498 7193
103881698 7207
103997042 7211",295 10,,1692457 3723971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"61
https://youtu.be/AgYqO6JeWw4","zyx
https://youtu.be/r-yExSjS80I",848098,"6
https://youtu.be/M2L4oshpA5o","11
https://youtu.be/CRq1ZZmm6kA","98
https://youtu.be/g_jqSA-iL7I",57,,,"3942
https://youtu.be/WgWTFlm-Qvs","255
https://youtu.be/4KzALYE9Kh4",,"18",381,4477444,"192
https://youtu.be/CiJI1gxzKKE","8
https://youtu.be/_z31JhC_mWE",96,"99930181
https://youtu.be/14XJsISaP_M?t=263
https://youtu.be/ELKKPUWdJuI",1379 1213,"299 1
https://youtu.be/Ehjs2cgebJA
https://vk.com/video-216115749_456239821",62,31 57,55,21,"973
https://youtu.be/d3kSPEMvV4Q",U1618,"113010578 7517
113191058 7523
113371682 7529
113612738 7537
113733362 7541
113914418 7547
113974802 7549",998 10,,2958822 75360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"70
https://youtu.be/SAniW-c4pm4","zyx
https://youtu.be/7gcGFN4lveQ",59181,"22
https://youtu.be/oWbMe-rMIp4","17
https://youtu.be/AXlBtA5hdo8","56
https://youtu.be/YGFCorvINXw",39,,,"656
https://youtu.be/woOX74V34g4","3
https://youtu.be/3W8tx5p00EI",,"25",9,777,"128
https://youtu.be/hpFZSuAIZSg","12
https://youtu.be/2OlIlYENIMM",160,"14
https://youtu.be/14XJsISaP_M?t=419
https://youtu.be/rqL6E4MEWFA",1373 16135,7858 7494,17,13 16,12,18,"377
https://youtu.be/MBb-zJQg44A",X73,"55383364 13845841
56796482 28398241
58492928 28561
59105344 923521
59969536 14641
59973152 1874161",584 295,,1120742 3704113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"40
https://youtu.be/wQeG5gRTsUE","xzy
https://youtu.be/Gxx5VJiMUbI",372670,"23
https://youtu.be/6dyzpPYA7NY","21
https://youtu.be/f3jLTRfVIDM","4
https://youtu.be/25-EXgEiVcM",31,,,"144
https://youtu.be/mrHvyATu4_E","2707
https://youtu.be/02mvmhldUCI",,"582",129,7744,"255
https://youtu.be/rp4QlPjHluo","16
https://youtu.be/d7ufm-eWNr4",8,"9920
https://youtu.be/0CW2j6LxF9U","2510 -19677 
https://youtu.be/kVkLt6DZjnc",258 2817,9,84 92,93,8,"16
https://youtu.be/PlE9nWkSir8",T72,"109401632 3418801 
110766728 13845841 
112550881 112550881 
113592964 28398241",9991 5643,,15079 128655900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"БГДАЗЕВЖ
https://youtu.be/FfgzxkMeLtc","zxy
https://youtu.be/qFdQ7L8pkPQ",67,"25
https://youtu.be/5saVSUY4otM","65
https://youtu.be/4VmKZW5Oc9w","411
https://youtu.be/9G87ReY04Y8",58,,,"108
https://youtu.be/xEAy7P32Jf8","1644
https://youtu.be/ndMk-isfXJE",,115,32768,44,"254
https://youtu.be/TBYXaTZF2MQ","9
https://youtu.be/8ikIT30hr5g",32,"4
https://youtu.be/26qVe5pmbRg","587 -9996 
https://youtu.be/6c3zDFz60e8",1171 588,25,20 21,6,4,"229635
https://youtu.be/Zio4vJg4gl4",1521,"78074896 4879681
78675968 2401
80604484 20151121
81920000 625
84934656 81",7600410 14,,73 1146648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"47
https://youtu.be/22k-YVhsdFQ","xyz
https://youtu.be/6KMqNO7lHB0",190481,"25
https://youtu.be/31YrOATNXOw","86
https://youtu.be/Fnj18hqxvyc","249
https://youtu.be/3rteaMeXKzo
https://youtube.com/shorts/VmFI3EZRWPo",67,,,"324
https://youtu.be/4uaYv-8h2To","2960
https://youtu.be/LkqVKTscs_U",,85,Б925,44774,"3
https://youtu.be/lI7Nvxx9ZOs","5
https://youtu.be/V7LtJBwYUYg",68,"729
https://youtu.be/JDNFJcdH1-s","252 9971
https://youtu.be/e_b23QVXI38",13240 524,19,14 15,6,19,"3861
https://youtu.be/_5SkLd53Z6w",19351,"63123848 7890481 
66724352 130321 
71639296 279841",43656 36,,151 479306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"15
https://youtu.be/kBYN8JcZ0J0","yzx
https://youtu.be/6n0gV9aLNms",2550,"28
https://youtu.be/jr_w6zMbju0","134
https://youtu.be/itUKha2npP0","222
https://youtu.be/L6Rrtz5_RNA",74,,,"432
https://youtu.be/HBnZo73cd_Y","120
https://youtu.be/JIF4CEvE-CM",,"47
https://youtu.be/-6SlfqhJ8k8",66,447,"6
https://youtu.be/NhlRFmi-zeM","13
https://youtu.be/_1-rBQooXs4",66,111111111,"5012 8 
https://youtu.be/Wg6mz1oGi8E",1616 10,28,16 18,11,7,"8
https://youtu.be/ln4JoqxcPKU",5,"2095133040 19
https://youtu.be/QMU_Cn0LrUo",36892 45510,,1973 186888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"23
https://youtu.be/c9khsGJZjJo","xyz
https://youtu.be/uqhnhnzVoSc",213,"37
https://youtu.be/fUE7kVCCBgA","19
https://youtu.be/TLMWos-HuJA","112
https://youtu.be/8CvWiW9Bezw",30,,,"720
https://youtu.be/UiqqAVwzxkM","2585
https://youtu.be/Qt82NwUzP1k",,16,962,77,"5
https://youtu.be/vVHl88ASn-c","25
https://youtu.be/iBz6QkSPvHc",74,33333334,"3316 2
https://youtu.be/TcaVnbpGU8g",4084 30,34,19 23,9,8,"25
https://youtu.be/s7G8GERiVEA",139,551350800 17,52326 635,,69327 629429656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"40
https://youtu.be/Mw8pVp2PMf0","yzx
https://youtu.be/HhsNMepoTwo",181,"20
https://youtu.be/qnVrBsaHsdA","25
https://youtu.be/hfeoQunEQSE","203
https://youtu.be/m70yTneZHBo",51,,,"9373
https://youtu.be/HUKBU03H5HI","2511
https://youtu.be/MYSFaLoDjfU",,4,398,47,"7
https://youtu.be/mQQMTUGKQi0","4
https://youtu.be/LowJPvD75wA",60,54199719,"3316 8125
https://youtu.be/a7WNV6sOphs",4181 33,18,0 1,9,9,"493
https://youtu.be/zTEz-rxldt0",7,810810000 13,2595 13429,,9190 22290630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"11
https://youtu.be/R9me_GG_VI8","xzy
https://youtu.be/Q5SPD4peMgs",467,"5
https://youtu.be/eBUhLCxsPzo","35
https://youtu.be/xMN0QX_Iw0E","56
https://youtu.be/uN6nnyl75K0",8,,,"480
https://youtu.be/kW8aLQYa4Ig","893
https://youtu.be/k53_UfZScsE",,22,192,39,"6
https://youtu.be/u74EJHMMpEc",5,30,270141174,"9 26 
https://youtu.be/XNXdpTNe9Zc ",3928 32,5,8 9,21,14,"378
https://youtu.be/FNVi00LF2og",3703,341510400 11,4715 8,,7729 9014241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"52
https://youtu.be/yR9f2g7ECPY","xywz
https://youtu.be/dGKBrFkJ_rY",1440,"011
https://youtu.be/IY0YDsd2-mw","71
https://youtu.be/7NR3wcLZN-4","211
https://youtu.be/plbtFxpTjXg",292,,,"1296
https://youtu.be/GMmZ6td-BLc","3
https://youtu.be/y7N-5jX99X0?t=3435
https://youtu.be/u08bI7ZrcUE",,21,343,9933,"4
https://youtu.be/MKH5BPwKHNI",17,108,71991061,"3 7783
https://youtu.be/RTLRYidzDYE",4076 26,,,,25,"371
https://youtu.be/KxMOZ478aZo",E1577,17297280 13,1334 5,,79768 198554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"1357
https://youtu.be/EOwTIlVkdjo","yxzw
https://youtu.be/4B53iVly5Ew",6146,"1100
https://youtu.be/2jLrVq-OZCs","78
https://youtu.be/mHu1mO-G4tU","354
https://youtu.be/HcJeXCeftY8",197,,,"2880
https://youtu.be/N0aPQVeLS_8","1549
https://youtu.be/LiqkE-gh_A0",,34,33,3,"1
https://youtu.be/cL_mbwqOPyM","38
https://youtu.be/iVAZzW2f3yA",95,112,"7 2 
https://youtu.be/JOLYc_Gfq0A",801 15,,,,11,"362
https://youtu.be/83xjp0Mhtto",X1560,"700000 72
700128 144
702000 160
702240 192
720720 240",2299 36950,,1983 199987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"22
https://youtu.be/CThEHjpJCwc","zwxy
https://youtu.be/EFx48dJHN1g",784800,"11
https://youtu.be/SSnMLrfF7rk","105
https://youtu.be/lIzWAgJ-aIo","159
https://youtu.be/ciYYjlVbSMY",3,,,"5184
https://youtu.be/78YRF0Kpfvc

","2203
https://youtu.be/LnswiG6v-OQ",,11,1143,993,"64
https://youtu.be/TUjO1_Atzes","37
https://youtu.be/vzFl9vrMK7o",79,320,"140 17031
https://youtu.be/gWTLc2TQ1rI",676 13,,,,9,"220
https://youtu.be/qNyKxCv-RX4",W1608,"702122 4
702123 8
702124 12
702125 16
702126 24",40031 148,,1983 15998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"12
https://youtu.be/lSt7nnCReH8
https://youtu.be/9Kn04HY42Zw","yxz
https://youtu.be/RH-xXpey1lk",2850,"13
https://youtu.be/tyauA4Kjx20","138
https://youtu.be/9AYfa8KuQxY",640,33,,,"504
https://youtu.be/_1yEa3BmFww","104
https://youtu.be/pp9B0mffR1w",,5,8,3999,"8
https://youtu.be/RasVjKd_K_c","38
https://youtu.be/2vtYfOfsaFw",8,576,"359 115022
https://youtu.be/aT4WUStQow0",516 13,,,,9,"825
https://youtu.be/h9pHBR-85pc",V38429,"29 9999971
27 9999973
9 9999991
19 10000019
79 10000079
103 10000103",1561 1132,,228 3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"25
https://youtu.be/qAZyY6Te3kI","zxy
https://youtu.be/PC2Ef8AYQ0s",6011980,"15
https://youtu.be/B-YDx73XAH4","56
https://youtu.be/M2C5e-VxC8E",50,142,,,"1008
https://youtu.be/0njvFu4AYYw","133
https://youtu.be/xgPOo8HnYag",,3,8,33,"5
https://youtu.be/7zARO6M-E2Y","35
https://youtu.be/_WqEPJNqmMU",12,"55252
https://youtu.be/wWSfe-eRT0E ","1971 9702
https://youtu.be/0Oatakh-fi4",705 13,,,,6,"292
https://youtu.be/uv30-TYdgqU",C38412,"181398528 21
201326592 27
229582512 19
254803968 25",1040 57,,96 148773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"25
https://youtu.be/K_adfd8Y9Es","yzx
https://youtu.be/Odd3_mbl3VI",,"001
https://youtu.be/bbdcYcfsaa8","72
https://youtu.be/eg9XFEd69Fs",449,5715,,,"1008
https://youtu.be/Nt7TvY_jMj8","1820
https://youtu.be/khe7OhBB33M",,2,4097,45,"3
https://youtu.be/iFhteyicvUA",14,20,"265063799
https://youtu.be/z1aKRZz0xLw","179 -9107
https://youtu.be/2prU2OUWmdU",711 84,,,,10,"1545
https://youtu.be/_hd5frdC0M8",W38473,"153055008 19
169869312 25
214990848 23
272097792 21",628 4,,1995 199895754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"25
https://youtu.be/glwOFzLGZ7A","yxz
https://youtu.be/CVHHAAuEhUw",,"11
https://youtu.be/bUtpLqnmefE","416
https://youtu.be/k6acgqAoVgA","11
https://youtu.be/NjFAGo-qW-I",18,,,"1008
https://youtu.be/OIphj8OUdA8","423
https://youtu.be/qnp1ROGGD98",,7,4096,4,"16
https://youtu.be/3u36rEaHM20",13,13,"132526148
https://youtu.be/qWmaSRRhpPw","126 15701
https://youtu.be/kP-rswjdQBY",30 11,,,,3,"229
https://youtu.be/7XH8vjOJjwg",B38617,"125000000 15
131072000 23
195312500 13
204800000 21",1432 619,,900 98964798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"50
https://youtu.be/XxhPOY-a_Zo","wxzy
https://youtu.be/YwQN89y9Mi8",,"18
https://youtu.be/pjLGR7QzorY","352
https://youtu.be/4UCzFarAols",74,9615388,,,"840
https://youtu.be/prxFFcaGpjM","61
https://youtu.be/06n3M2ibYG4",,44,,455,"4
https://youtu.be/g7WluQRNhGA",42,47,"8045910600
https://youtu.be/tvb7iAnXuAA","153 19285
https://youtu.be/7ivkA1p4Z1o",746 22,,,,1,"478
https://youtu.be/dwxEKTUFHdw",Z36493,"128000000 19
134217728 27
200000000 17
209715200 25",138 4976,,898 98526430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"БГДАВЗЖЕ
https://youtu.be/ZwnJokUZdiY","zwyx
https://youtu.be/uigi51OWM3U",,"1
https://youtu.be/KkZLOEPxHYM","928
https://youtu.be/RtnQyry1GcA","18
https://youtu.be/CPqzAu1fa0I",111691,,,"5880
https://youtu.be/sF3UPuwVdtA","13
https://youtu.be/OqdJf2WYgjI",,22,,453,"8192
https://youtu.be/-PMxY6id9cA",41,13,"2541865828329
https://youtu.be/B_r7kOK3PJo?t=8580","119 -7213
https://youtu.be/i0vhSQ9Zzj4","1106 543
https://youtu.be/B_r7kOK3PJo?t=9951",,,,2,"260
https://youtu.be/JSZrpedA6RY",K36582,"117440512 25
161414428 11
210827008 15
275365888 19",650 118,,166998 23445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"61
https://youtu.be/YQ8470B2ih4","wyzx
https://youtu.be/czbMGqHroRM",,"22
https://youtu.be/oSgzY4L1OjA","112
https://youtu.be/BNigXHybUsg","15
https://youtu.be/qiN3HolRbqs",43840,,,"35280
https://youtu.be/tBhwMBJdwY8","15
https://youtu.be/sLBAEhiEIMk",,18,,365,"32
https://youtu.be/RcWiteukyok",12,34,"4088483
https://youtu.be/280cbBww-YE","832 460
https://youtu.be/PGeiwuVGvAE",1599 12,,,,9,"735
https://youtu.be/RCKdVdwEN_A",916,"102760448 23
134217728 27
184473632 13
240945152 17",650 14,,280212 26997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"14
https://youtu.be/CBp609lwu0w","ywzx
https://youtu.be/K0oho1K3sNM",,"28
https://youtu.be/aXDijuX4LbQ","144
https://youtu.be/rRRTfbzqTFE","29
https://youtu.be/AbsxIeLJuKE",15212,,,"168
https://youtu.be/f9xaWFWBTZ4","553
https://youtu.be/1_rG-KLX3G8",,16,,33,"168
https://youtu.be/L9MbXBvSUBE",13,3,"8086
https://youtu.be/AZYFMVD70Ho","604 26324
https://youtu.be/v9vH9EsGtF0",2112 171,,,,113,"407
https://youtu.be/ZqUqFS8KTNs",974,"360653 360749
370261 370373
396733 396833
492113 492227
604073 604171
838249 838349
860143 860239
927869 927961",1920 2776,,387672 591081 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"ГАКВБЕД
https://youtu.be/VAVY0NasnPU","wxzy
https://youtu.be/xvBLL1ByewE",,"15
https://youtu.be/MJba7c_a6G4","960
https://youtu.be/c29BtxGiKhk","9
https://youtu.be/DOXuLGaI8Bc",57,,,"1161
https://youtu.be/SrHMbGo2w78","1035
https://youtu.be/GX5muDfCrig",,105,,43,"4095
https://youtu.be/_0jZw82R9b8",14,44,"2045254
https://youtu.be/322Pt_TBs2I","181 -31478
https://youtu.be/T8yVhZszmSA",1950 160,,,,18,"917
https://youtu.be/YWyJyBz1nXE","6
https://youtu.be/qSvL8y8UOAI","150016 150745
150024 310775
150048 277469
150108 250403
150139 13660
150144 290495
150146 81273",4835 419,,519386 298243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"46
https://youtu.be/yA2QwXSoVfg","xwzy
https://youtu.be/5yeqH5esB9A",,"21
https://youtu.be/A29lGa19pRc","800
https://youtu.be/NpGCggeCByA","4
https://youtu.be/s_NG3-_09S8",3,,,"1456
https://youtu.be/xV1sBLK2uxA

","76
https://youtu.be/Bry1hlqOtkI",,81,,464,"40638
https://youtu.be/UXq9O1jd2kA",11,48,53333334,"445 9738
https://youtu.be/6rg1nYIQ6XU",2467 1567,,,,,"16
https://youtu.be/pOlrWy23UWo",66,"250003 19244
250015 1649
250028 62509
250059 170
250062 663",2187 15013,,"43666 1424027568
https://youtube.com/shorts/gXSEnAsnqk0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"14
https://youtu.be/dYPMmZF9bCc","xzwy
https://youtu.be/4UYi573F2Ig",,"11100010
https://youtu.be/rD3akWF5ecI","1472
https://youtu.be/bObHETQkC5Q","13
https://youtu.be/h4QCZ56pWJI",2,,,"1456
https://youtu.be/TGIvs7Ul4IE","2241
https://youtu.be/IyCBtXVCIpg",,12,,564,"512
https://youtu.be/kzsjoMUkMnY",12,7,57142859,"8649 97979
https://youtu.be/TJ4Lu1POC08",481 1481,,,,,"103
https://youtu.be/HlN0QYTXPUk",69,"350015 69998
350017 8496
350036 175016
350073 116688
350082 175039
350128 175062",10135 42,,1261749 127525277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"38
https://youtu.be/UKbYdWXFQKk","zwyx
https://youtu.be/oonH8jvayhg",,"10001000
https://youtu.be/AytjQLtgOGA","134
https://youtu.be/nF-blMOPHuQ","6
https://youtu.be/O5zZDQUkVqw",7,,,"4325
https://youtu.be/HHpG5u6fQ-Q","134
https://youtu.be/LOqwmH_e26A",,31,,5665,"20
https://youtu.be/vaYSgXKOYo0",9,2,45714287,"31 1081
https://youtu.be/rvWqUC8fmuw",487 1343,,,,,812266767,51,"450006 417
450038 5231
450047 2650
450051 736",747 10042,,4398 108618221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"462
https://youtu.be/P6Cl3qWrSTI","xzyw
https://youtu.be/p0Zmf-VSZzE",,"11010111
https://youtu.be/iCWpuJh-X8E","107
https://youtu.be/lIRpf5GGFoQ","41204
https://youtu.be/5HTlHm3zimA",3,,,"23625
https://youtu.be/1pDh5Mg6_By","665
https://youtu.be/vfGCJBPWQis",,89,,365,"25
https://youtu.be/tmq_BvfR-kE","4
https://youtu.be/WRYYKPMfk_0",26,26666666,"6681 23686
https://youtu.be/0IesT5bq1eY",564 1564,,,,,"14200552
https://youtu.be/rQ0pxoPDQMQ",53,"550032 28285
550040 49117
550046 28905
550050 19419
550066 35725",503 478,,17 115207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"45
https://youtu.be/lvzw6HdmDT4","yzxw
https://youtu.be/GO856r1dmmw",,"10101000
https://youtu.be/FoIgTypLORo","90
https://youtu.be/KsQAayw72Oc","380
https://youtu.be/vYGUVav9BD8",7,,,"96
https://youtu.be/FNgWPMyhzlE","12
https://youtu.be/jtFpo672vcg",,6,,52774,"8
https://youtu.be/aI6Y2nxXGMk","26
https://youtu.be/ojiLWdlsQjs",8,11111111,"247 5706
https://youtu.be/MudG0A2e100",474 1330,,,,,"43413100
https://youtu.be/5FE0ch-V1Z0",2278,"650090 60
650153 282
650155 3945
650208 134",793 2,,10323 18172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"42
https://youtu.be/xCeM7kUEVwE","ywzx
https://youtu.be/wQlOGdYF0TI",,"01100101
https://youtu.be/rc6rroVrMbk","11
https://youtu.be/DnAtA3irm2c","44
https://youtu.be/WuOD7MfMV4w",1024,,,"6400
https://youtu.be/g5eNDs3PiOc","2097
https://youtu.be/G-finomjw88",,4,,152,"3
https://youtu.be/TugPOpSHOkQ","18
https://youtu.be/WHJk1RMf3WI",20,"6049
https://youtu.be/5va34UHmVEw","502 1305
https://youtu.be/zCdx6U82QKc",2517 1376,,,,,"287794240
https://youtu.be/Gvoh6Kp6DKs",356 119624,5681 4988,56 30113,,152 731075967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"49
https://youtu.be/1Pv9bhItZcA","yzx
https://youtu.be/i-4x4ufB3EA",,"11000101
https://youtu.be/8cvi1woQJoQ","146
https://youtu.be/aBx8Clnu654","6628
https://youtu.be/S6HpMCuGzU0",83,,,"231
https://youtu.be/oZ9RLDu6UV8","1159
https://youtu.be/hRJzlvtx6As",,158,,1,"192
https://youtu.be/AYMY7JHsDf0","30
https://youtu.be/sC_CZ-t3GT0",10,914,"388 9727
https://youtu.be/fu8WXPSGQPg",2595 1436,,,,,"36253635
https://youtu.be/ouRV7jcDG2U",946,38048 9999972,,,14144 522739884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"38
https://youtu.be/1753yEQRYrw","yxz
https://youtu.be/RV2dpIJ-muc",,"01110110
https://youtu.be/yg95zlLIl70","63
https://youtu.be/qWpMbFwnIt8","72
https://youtu.be/CL-dOqpfzNA",35616,,,"1125
https://youtu.be/ZqHYdM1oZO8","322
https://youtu.be/EdD7eBUCPOk
https://youtu.be/kE4043BfG1k",,536,,16,"224
https://youtu.be/6QFMnEZVDoI","21
https://youtu.be/0Rp2HJIf790",2,2930,"1189 460004
https://youtu.be/IjHO5O6hfaU",2027 1366,,,,,"1243550
https://youtu.be/LTiM0cOi3Qk",5267,"250196 62549
250314 41719
250374 41729
250442 125219
250554 41759",,, 7076 1131362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,37,"xzy
https://youtu.be/3QjD24ulnns",,"000101100
https://youtu.be/YFitxP34suQ","176
https://youtu.be/La6K4XfZt9s","28
https://youtu.be/NYIvnJGkNN0",39,,,"840
https://youtu.be/IFy3HvT8kKc","98
https://youtu.be/6QDwYq0PbTg",,101,,447,"2
https://youtu.be/q_M4TJSOzV4","8
https://youtu.be/Tq5ut6npDsc",32,6400,"9009 10
https://youtu.be/DgMzKTZ9zIg",2098 1202,,,,,"238
https://youtu.be/JVfGHVpD1AI",2940,"704969 7921
571787 6889
493039 6241
389017 5329
357911 5041",,,72 991844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,55,"yxz
https://youtu.be/pRcinlowf6I",,"1100011
https://youtu.be/HR0abVTUKIw","161
https://youtu.be/xPPA4cpwCqE",28,1998000,,,"2882
https://youtu.be/lgLVgcxkEiI","53
https://youtu.be/yTFY0LC5D1M",,58,,561,"524288
https://youtu.be/qDZyE2qllr4","3
https://youtu.be/T1xuoEWuXmg",1,16461,"531 10774
https://youtu.be/p73ODtOOi3A",2170 1280,,,,,"65
https://youtu.be/cg_CYfNvjC0",8,"500002 178
500004 18
500016 48
500018 58
500020 4348",,,2109 239600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,15,"zxy
https://youtu.be/AgW683H3p0U",,"20
https://youtu.be/EdRonMMW7N8","136
https://youtu.be/eQN_OrEaHqs",117,95,,,"5115
https://youtu.be/HiWwl2GXj6A

","880
https://youtu.be/aMZUwFqdyfk",,35,,147,"3438828
https://youtu.be/SBNzuxYZb4c","3
https://youtu.be/_Q8pKk8dAaw",43,1065509,"13 1287
https://youtu.be/HspSbiCQ_8Q",758 2176,,,,,"24297
https://youtu.be/kH6N6ho4xjg",C6347,"800120 400062
800253 266754
800273 21666
800375 160080
800396 400200",,,2 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,120,"yzx
https://youtu.be/MJlC1_TDkos",,"21
https://youtu.be/jNPTbKj1ta8","103
https://youtu.be/shs5ZTmHFbo",132,91893,,,"1545
https://youtu.be/gRxXXRpegMQ","1056
https://youtu.be/gjoi7KMKbeI",,14,,186,"131072
https://youtu.be/835fyEM7Fok",8,23,1122,"43 9653
https://youtu.be/x9TjQRJIk48",1978 749,,,,,"3029
https://youtu.be/NYH05H4348g",2504,"520211 16781
520993 47363
521653 47423
521947 16837
522077 22699",,,"21661 21595971
https://youtu.be/C4vAu1dpEr8?si=mfjbBhMg0rElCrx7&t=15625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,38,"xyz
https://youtu.be/m7UwV-QbXE0",,"0100
https://youtu.be/xbc2O7BKWJg","35
https://youtu.be/WPK7PWRH7Mc",391,287400,,,"360
https://youtu.be/U0HTtbUzQKM","49
https://youtu.be/69DJKAbUE-A",,140,,163,"3
https://youtu.be/yws75jDIaP0",7,20,"11
https://youtu.be/WSzEu8BI8kM","337 10802
https://youtu.be/i1vv10P_BnE","2071 649
https://youtube.com/shorts/LEE1jNGrtQ0",,,,,"38
https://youtu.be/cqevCbF9ocM",353,"912912 133
912951 153
913198 103
913353 183
913767 123",,,"90 284
https://youtu.be/5B02ZQBH1-4?si=r3uO-uXyxrNAIUgi&t=13038
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,БДЖГЕАВИ,"yxz
https://youtu.be/S9M6UeCHPgU",,"0111000101
https://youtu.be/17uqIeSbbrw","78
https://youtu.be/vhFHvU8zZWg",345,512,,,"195
https://youtu.be/y-QXeViPxaE","6887
https://youtu.be/16ETdjb1JRk",,683,,5355,"2048
https://youtu.be/Oc_AfmA0uZU",6,5,"4036
https://youtu.be/lUkw4JHDC7s","8515 126
https://youtu.be/aHyU3pDemYs",2049 1229,,,,,"14
https://youtu.be/CiU3bvig0jI",403,"32 3010349
38 54018521
42 370248451",,,16430 19830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ЕГВБЖАДИ,"yzx
https://youtu.be/iiLwbj9oHsE",,"010111011
https://youtu.be/0IrN59p5TTs","52
https://youtu.be/aMWKXPV_Lns",35256,,,,"2
https://youtu.be/ReML8aK1HEY","74
https://youtu.be/7UYKayrIJQo",,67,,13,"1048576
https://youtu.be/zFNzdqYqrA8",9,10,"2462
https://youtu.be/B94kV6ut_RE","74452 12
https://youtu.be/PGHJcoNnuS8",2407 1101,,,,,"60
https://youtu.be/KMt_3LWVB6c",432,"5000211 171
5000211 171
391391 23
122124411 227
1712421 81",,,24603 29780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ЖБГАВЕДИ,"ywzx
https://youtu.be/5eNM7cgKa4Y",,"1100001
https://youtu.be/N0IcAMtC8cs","238
https://youtu.be/4GdCR0HUeGk",210,,,,"104
https://youtu.be/8sDRntV5Nj4","12
https://youtu.be/rExaT9EXr0s",,15,,77,"32768
https://youtu.be/81V8ryZCy7I",11,6,6069,"38 163
https://youtu.be/tyYNB53xcQM",2458 1438,,,,,"191
https://youtu.be/HYxxPD_OmQI",483,"26222031 199
2481831 53
303831 33
1274931 59
143483131 121",,,32349 39697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,БЕВГЖДАИ,"yzwx
https://youtu.be/gliz9vc4WOk",,"11001101
https://youtu.be/u9DLbmUyAOc","143
https://youtu.be/vn-HQ6b31pw",420,,,,"35
https://youtu.be/lsp3oVy4mzg","2196
https://youtu.be/tMh51M1hixs",,148,,722,"171
https://youtu.be/rwiBZeig60I",6,9,4048,"16 159
https://youtu.be/M49-s1Eg_qM","1981 1264
https://youtu.be/tFbZrqPNI4Y?si=oQJxLFrMAml5f8cy&t=9354",,,,,"656
https://youtu.be/ieIhdblkBz0",550,"782217 37
166617 33
2880117 93
74874717 111
725517 53",,,22892 28161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
